placaId,empresaId,codigo,nome,slug,prefix,status,selectedKey,lastModified,size,localPath,error,createdAt,updatedAt
69d7c5399b9a603e4683912f,699deac081306d4261f00d33,CAU-12,,,empresas/699deac081306d4261f00d33/plates/69d7c5399b9a603e4683912f/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c5399b9a603e4683912f/main/6a26fa0be0f9428da1ce40ce.webp,2026-06-09T11:45:10.644Z,181402,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c5399b9a603e4683912f\image.webp,,2026-04-09T15:26:49.233Z,2026-06-08T17:21:20.127Z
69d7c59c9b9a603e4683913f,699deac081306d4261f00d33,CAU-13,,,empresas/699deac081306d4261f00d33/plates/69d7c59c9b9a603e4683913f/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c59c9b9a603e4683913f/main/6a26fa9ee0f9428da1ce41c6.webp,2026-06-09T11:45:12.712Z,157740,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c59c9b9a603e4683913f\image.webp,,2026-04-09T15:28:28.838Z,2026-06-08T17:23:45.854Z
69d7c5e29b9a603e4683914d,699deac081306d4261f00d33,CAU-14,,,empresas/699deac081306d4261f00d33/plates/69d7c5e29b9a603e4683914d/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c5e29b9a603e4683914d/main/6a26fb1ce0f9428da1ce4291.webp,2026-06-09T11:45:14.710Z,193934,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c5e29b9a603e4683914d\image.webp,,2026-04-09T15:29:38.637Z,2026-06-08T17:25:54.037Z
69d7c6579b9a603e4683915b,699deac081306d4261f00d33,CAU-15,,,empresas/699deac081306d4261f00d33/plates/69d7c6579b9a603e4683915b/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c6579b9a603e4683915b/main/6a26fb61e0f9428da1ce436a.webp,2026-06-09T11:45:16.625Z,260074,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c6579b9a603e4683915b\image.webp,,2026-04-09T15:31:35.082Z,2026-06-08T17:27:03.888Z
69d7c7489b9a603e46839169,699deac081306d4261f00d33,CAU-16,,,empresas/699deac081306d4261f00d33/plates/69d7c7489b9a603e46839169/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c7489b9a603e46839169/main/6a26fbc5e0f9428da1ce4429.webp,2026-06-09T11:45:18.901Z,231862,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c7489b9a603e46839169\image.webp,,2026-04-09T15:35:36.713Z,2026-06-08T17:28:42.292Z
69d7c7cc9b9a603e4683919f,699deac081306d4261f00d33,CAU-17,,,empresas/699deac081306d4261f00d33/plates/69d7c7cc9b9a603e4683919f/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c7cc9b9a603e4683919f/main/6a26fc2fe0f9428da1ce450e.webp,2026-06-09T11:45:20.308Z,143356,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c7cc9b9a603e4683919f\image.webp,,2026-04-09T15:37:48.671Z,2026-06-08T17:30:29.494Z
69d7c8329b9a603e468391ad,699deac081306d4261f00d33,CAU-18,,,empresas/699deac081306d4261f00d33/plates/69d7c8329b9a603e468391ad/,NO_R2_FILES,,,,,,2026-04-09T15:39:30.769Z,2026-06-08T11:40:59.662Z
69d7c8a29b9a603e468391bb,699deac081306d4261f00d33,CAU-19,,,empresas/699deac081306d4261f00d33/plates/69d7c8a29b9a603e468391bb/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c8a29b9a603e468391bb/main/6a26fc9be0f9428da1ce45e9.webp,2026-06-09T11:45:22.458Z,150308,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c8a29b9a603e468391bb\image.webp,,2026-04-09T15:41:22.729Z,2026-06-08T17:32:15.795Z
69d7c9169b9a603e468391c9,699deac081306d4261f00d33,CAU-20,,,empresas/699deac081306d4261f00d33/plates/69d7c9169b9a603e468391c9/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c9169b9a603e468391c9/main/6a26fcf4e0f9428da1ce475c.webp,2026-06-09T11:45:24.214Z,136544,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c9169b9a603e468391c9\image.webp,,2026-04-09T15:43:18.122Z,2026-06-08T17:33:45.365Z
69d7c9c79b9a603e468391d7,699deac081306d4261f00d33,CAU-21,,,empresas/699deac081306d4261f00d33/plates/69d7c9c79b9a603e468391d7/,DOWNLOADED,empresas/699deac081306d4261f00d33/plates/69d7c9c79b9a603e468391d7/main/6a26fd36e0f9428da1ce481b.webp,2026-06-09T11:45:25.865Z,186242,G:\Inmidia V4\BECKEND\latest-plate-images\69d7c9c79b9a603e468391d7\image.webp,,2026-04-09T15:46:15.385Z,2026-06-08T17:34:51.993Z
